year,province,gdp
1985,贵州,123.9
1985,云南,165.0
1985,西藏,17.8
1985,陕西,180.9
1985,甘肃,123.4
1985,青海,33.0
1985,宁夏,30.3
1985,新疆,112.2
1986,北京,284.9
1986,天津,194.7
1986,河北,436.7
1986,山西,235.1
1986,内蒙古,181.6
1986,辽宁,605.3
1986,吉林,227.2
1986,黑龙江,400.8
1986,上海,490.8
1986,江苏,744.9
1986,浙江,502.5
1986,安徽,382.8
1986,福建,222.5
1986,江西,230.8
1986,山东,742.1
1986,河南,502.9
1986,湖北,442.0
1986,湖南,397.7
1986,广东,667.5
1986,广西,205.5
1986,海南,48.0
1986,重庆,184.6
1986,四川,458.2
1986,贵州,139.6
1986,云南,182.3
1986,西藏,16.9
1986,陕西,208.3
1986,甘肃,140.7
1986,青海,38.4
1986,宁夏,34.5
1986,新疆,129.0
1987,北京,326.8
1987,天津,220.1
1987,河北,521.9
1987,山西,257.2
1987,内蒙古,212.3
1987,辽宁,719.1
1987,吉林,297.5
1987,黑龙江,454.6
1987,上海,545.5
1987,江苏,922.3
1987,浙江,607.0
1987,安徽,442.4
1987,福建,279.2
1987,江西,262.9
1987,山东,892.3
1987,河南,609.6
1987,湖北,517.8
1987,湖南,469.4
1987,广东,846.7
1987,广西,241.6
1987,海南,57.3
1987,重庆,206.7
1987,四川,530.9
1987,贵州,165.5
1987,云南,229.0
1987,西藏,17.7
1987,陕西,245.0
1987,甘肃,159.5
1987,青海,43.4
1987,宁夏,39.6
1987,新疆,148.5
1988,北京,410.2
1988,天津,259.7
1988,河北,701.3
1988,山西,316.7
1988,内蒙古,270.8
1988,辽宁,881.0
1988,吉林,368.7
1988,黑龙江,552.0
1988,上海,648.3
1988,江苏,1208.9
1988,浙江,770.3
1988,安徽,546.9
1988,福建,383.2
1988,江西,325.8
1988,山东,1117.7
1988,河南,749.1
1988,湖北,626.5
1988,湖南,584.1
1988,广东,1155.4
1988,广西,313.3
1988,海南,77.0
1988,重庆,261.3
1988,四川,659.7
1988,贵州,211.8
1988,云南,301.1
1988,西藏,20.3
1988,陕西,314.5
1988,甘肃,191.8
1988,青海,55.0
1988,宁夏,50.3
1988,新疆,192.7
1989,北京,456.0
1989,天津,283.5
1989,河北,822.8
1989,山西,376.3
1989,内蒙古,292.7
1989,辽宁,1003.8
1989,吉林,391.7
1989,黑龙江,630.6
1989,上海,696.5
1989,江苏,1321.9
1989,浙江,849.4
1989,安徽,616.3
1989,福建,458.4
1989,江西,376.5
1989,山东,1293.9
1989,河南,850.7
1989,湖北,717.1
1989,湖南,640.8
1989,广东,1381.4
1989,广西,383.4
1989,海南,91.3
1989,重庆,303.8
1989,四川,745.0
1989,贵州,235.8
1989,云南,363.1
1989,西藏,21.9
1989,陕西,358.4
1989,甘肃,216.8
1989,青海,60.4
1989,宁夏,59.2
1989,新疆,217.3
1990,北京,500.8
1990,天津,311.0
1990,河北,896.3
1990,山西,429.3
1990,内蒙古,319.3
1990,辽宁,1062.7
1990,吉林,425.3
1990,黑龙江,715.2
1990,上海,781.7
1990,江苏,1416.5
1990,浙江,904.7
1990,安徽,658.0
1990,福建,522.3
1990,江西,428.6
1990,山东,1511.2
1990,河南,934.7
1990,湖北,824.4
1990,湖南,744.4
1990,广东,1559.0
1990,广西,449.1
1990,海南,102.4
1990,重庆,327.8
1990,四川,891.0
1990,贵州,260.1
1990,云南,451.7
1990,西藏,27.7
1990,陕西,404.3
1990,甘肃,242.8
1990,青海,69.9
1990,宁夏,64.8
1990,新疆,261.4
1991,北京,598.9
1991,天津,342.7
1991,河北,1072.1
1991,山西,468.5
1991,内蒙古,359.7
1991,辽宁,1200.1
1991,吉林,463.5
1991,黑龙江,822.3
1991,上海,893.8
1991,江苏,1601.4
1991,浙江,1089.3
